wavelength_nm,intensity,element
360.837790,24.146000,Th
360.944520,65.680000,Th
361.242750,163.599000,Th
361.286660,53.988000,Th
361.513280,33.128000,Th
362.279550,28.322000,Th
362.562800,31.614000,Th
363.458220,44.044000,Th
363.594340,50.025000,Th
364.224900,189.914000,Th
364.973490,31.099000,Th
365.669380,34.238000,Th
365.880870,21.607000,Th
365.962940,168.259000,Th
366.162150,36.589000,Th
366.320250,60.794000,Th
366.813990,23.846000,Th
366.996850,32.940000,Th
367.153980,20.403000,Th
367.556760,42.181000,Th
368.248640,39.668000,Th
369.062390,71.169000,Th
369.141170,32.865000,Th
369.187590,39.007000,Th
369.256640,42.829000,Th
369.417850,36.075000,Th
369.810620,25.835000,Th
370.097820,35.446000,Th
370.322990,23.938000,Th
370.377430,23.367000,Th
370.676730,56.069000,Th
371.943470,357.131000,Th
372.121520,24.347000,Th
372.182540,89.012000,Th
372.211550,30.161000,Th
372.790280,77.899000,Th
373.036840,22.951000,Th
373.751250,28.082000,Th
374.118310,138.252000,Th
374.292340,74.429000,Th
375.102190,20.085000,Th
375.256900,31.257000,Th
375.769420,25.351000,Th
375.846710,32.978000,Th
376.527000,21.000000,Ar
377.005600,39.309000,Th
377.137080,160.467000,Th
378.096630,42.990000,Th
378.560020,21.405000,Th
378.916790,82.206000,Th
379.079490,50.156000,Th
380.144320,21.688000,Th
380.307510,239.173000,Th
381.306760,23.951000,Th
381.868550,21.692000,Th
382.079270,25.860000,Th
382.513310,23.967000,Th
382.838460,327.986000,Th
383.077360,121.668000,Th
383.658510,51.715000,Th
383.787530,86.365000,Th
383.969530,247.875000,Th
384.196020,20.325000,Th
385.213530,34.874000,Th
385.451090,21.675000,Th
386.340590,26.163000,Th
386.966340,23.733000,Th
387.347410,39.719000,Th
387.382240,214.389000,Th
387.424380,44.122000,Th
387.486200,100.430000,Th
387.537310,41.136000,Th
387.964410,40.198000,Th
388.691590,56.373000,Th
389.541920,70.255000,Th
390.087850,20.936000,Th
390.310240,30.304000,Th
391.190920,34.648000,Th
391.641760,72.952000,Th
391.902340,46.074000,Th
392.379960,25.029000,Th
392.509350,81.991000,Th
392.966930,88.275000,Th
393.291130,75.705000,Th
393.366120,294.629000,Th
394.733090,20.024000,Th
394.803050,65.411000,Th
395.039510,115.353000,Th
395.276090,21.061000,Th
395.669080,20.809000,Th
395.930000,28.633000,Th
396.739220,164.554000,Th
396.846730,160.487000,Th
397.215460,58.787000,Th
397.319610,36.684000,Th
399.049220,36.009000,Th
399.454940,65.061000,Th
400.105810,37.821000,Th
400.509290,29.987000,Th
400.821020,91.237000,Th
401.173990,28.862000,Th
401.249520,114.374000,Th
401.912890,223.435000,Th
402.206750,23.751000,Th
402.700910,43.425000,Th
403.029250,20.513000,Th
403.084240,187.007000,Th
403.259520,23.190000,Th
403.604790,232.951000,Th
403.656520,24.657000,Th
404.289370,21.000000,Ar
404.339480,69.874000,Th
405.088720,24.148000,Th
405.292080,20.000000,Ar
405.352770,41.458000,Th
405.925290,39.864000,Th
406.340710,66.355000,Th
406.745080,23.294000,Th
406.920150,34.381000,Th
406.946130,22.392000,Th
407.200470,22.000000,Ar
407.550300,32.182000,Th
408.070580,34.502000,Th
408.136780,22.924000,Th
408.346880,26.278000,Th
408.504220,30.149000,Th
408.543410,26.263000,Th
408.652050,74.363000,Th
408.913790,21.407000,Th
409.474710,77.338000,Th
409.774730,64.014000,Th
410.034140,137.210000,Th
410.391210,21.000000,Ar
410.841990,48.023000,Th
410.932340,22.139000,Th
411.275450,166.768000,Th
411.575900,46.072000,Th
411.671370,66.486000,Th
412.741200,34.356000,Th
413.100210,59.035000,Th
413.172350,23.000000,Ar
413.275340,22.061000,Th
413.406810,36.951000,Th
414.270100,35.050000,Th
415.859050,24.000000,Ar
416.576620,63.735000,Th
417.053330,75.059000,Th
417.805980,23.530000,Th
419.071290,20.000000,Ar
419.301640,28.660000,Th
419.493610,22.614000,Th
419.831700,22.000000,Ar
420.067450,24.000000,Ar
420.889070,48.170000,Th
421.092320,171.993000,Th
421.306730,20.673000,Th
422.672680,419.484000,Th
422.815800,20.000000,Ar
422.914770,24.921000,Th
423.042680,20.035000,Th
423.546370,92.609000,Th
423.721980,20.000000,Ar
425.031470,117.066000,Th
425.625370,37.488000,Th
425.749630,99.259000,Th
425.936190,22.000000,Ar
426.033300,21.574000,Th
426.628640,20.000000,Ar
427.216890,21.000000,Ar
427.335750,32.751000,Th
427.731390,84.817000,Th
427.752820,25.000000,Ar
427.832320,24.002000,Th
428.204130,63.472000,Th
429.180990,23.558000,Th
429.730660,24.755000,Th
429.983930,31.469000,Th
430.010080,20.000000,Ar
430.717620,47.076000,Th
431.299750,100.709000,Th
431.525430,43.652000,Th
431.841570,27.394000,Th
432.891540,30.662000,Th
433.084380,21.646000,Th
433.119950,22.000000,Ar
433.356120,20.000000,Ar
433.727740,48.330000,Th
434.244420,47.425000,Th
434.432660,20.824000,Th
434.643670,26.748000,Th
434.806400,25.000000,Ar
434.907230,26.299000,Th
435.344870,25.212000,Th
436.593010,43.433000,Th
436.987560,21.665000,Th
437.075320,22.000000,Ar
437.412390,89.956000,Th
437.817690,63.363000,Th
437.966680,21.000000,Ar
438.186010,82.559000,Th
439.111060,88.738000,Th
440.098630,22.000000,Ar
440.158120,30.987000,Th
440.292720,46.498000,Th
440.888280,99.673000,Th
441.448640,28.757000,Th
442.600110,24.000000,Ar
443.018900,21.000000,Ar
444.590120,26.378000,Th
445.256550,28.337000,Th
445.477380,27.517000,Th
445.800160,51.592000,Th
446.124120,23.812000,Th
446.152780,34.945000,Th
446.952530,22.434000,Th
447.475940,20.000000,Ar
448.181070,22.000000,Ar
448.216930,32.626000,Th
448.689730,37.202000,Th
449.333370,269.669000,Th
449.894010,43.079000,Th
449.998320,32.034000,Th
450.521670,22.872000,Th
451.073320,20.000000,Ar
451.511830,47.599000,Th
452.119400,31.041000,Th
453.525460,27.694000,Th
454.099900,22.868000,Th
454.505190,24.000000,Ar
454.591560,25.819000,Th
455.581270,34.979000,Th
456.366090,20.249000,Th
456.724030,22.209000,Th
457.097220,45.983000,Th
457.934950,24.000000,Ar
458.842620,56.508000,Th
458.989780,24.000000,Ar
459.266600,36.624000,Th
459.542070,95.539000,Th
460.956730,25.000000,Ar
465.790120,24.000000,Ar
466.320260,32.583000,Th
466.679850,22.288000,Th
466.817160,37.834000,Th
466.998420,45.094000,Th
467.366090,147.623000,Th
467.605550,40.376000,Th
468.619460,44.722000,Th
469.163540,21.192000,Th
469.409150,21.357000,Th
469.503810,48.204000,Th
470.398980,143.020000,Th
471.248140,24.532000,Th
472.343830,122.924000,Th
472.378400,22.779000,Th
472.686830,25.000000,Ar
472.912830,35.450000,Th
473.590580,23.000000,Ar
474.052930,25.056000,Th
474.920020,40.204000,Th
475.241410,30.894000,Th
476.434630,30.084000,Th
476.486460,26.000000,Ar
476.660060,33.197000,Th
477.829400,75.897000,Th
478.938680,60.493000,Th
480.602050,25.000000,Ar
480.813370,111.156000,Th
480.961400,29.632000,Th
481.389630,27.214000,Th
482.285480,65.503000,Th
482.360590,27.126000,Th
482.670050,57.797000,Th
483.112130,83.700000,Th
483.159760,31.774000,Th
484.084290,92.495000,Th
484.780950,21.000000,Ar
484.836250,62.070000,Th
486.317240,57.961000,Th
486.547750,106.555000,Th
487.291700,50.071000,Th
487.436450,28.421000,Th
487.873300,76.360000,Th
487.986350,26.000000,Ar
489.495510,101.779000,Th
491.981580,94.228000,Th
492.778040,20.836000,Th
493.964220,59.877000,Th
494.306420,25.853000,Th
494.545870,46.335000,Th
496.507950,22.000000,Ar
498.537250,40.200000,Th
500.209720,76.454000,Th
502.865560,72.149000,Th
503.923030,55.176000,Th
504.471960,76.747000,Th
504.704340,24.863000,Th
504.979600,45.902000,Th
505.078420,27.765000,Th
505.986110,22.504000,Th
506.460210,32.798000,Th
506.494540,44.189000,Th
506.519260,23.605000,Th
506.797370,176.056000,Th
509.648480,28.522000,Th
510.062120,37.165000,Th
511.504480,74.147000,Th
514.178270,20.000000,Ar
514.391660,34.236000,Th
515.161200,61.179000,Th
515.424300,83.293000,Th
515.860410,154.257000,Th
516.153960,22.759000,Th
516.345840,35.482000,Th
517.696100,66.836000,Th
519.445760,21.210000,Th
519.581360,50.439000,Th
519.879990,35.941000,Th
519.916380,95.302000,Th
521.123050,71.289000,Th
521.334920,26.104000,Th
521.910990,50.783000,Th
523.115970,152.803000,Th
523.881370,22.350000,Th
523.955200,20.762000,Th
524.765470,23.922000,Th
525.836030,89.278000,Th
526.671030,38.380000,Th
529.627870,20.009000,Th
529.774320,25.675000,Th
531.200180,67.069000,Th
531.252880,38.402000,Th
531.290460,23.483000,Th
532.697570,55.243000,Th
534.358120,113.940000,Th
537.613040,42.061000,Th
537.883560,24.031000,Th
537.911050,30.630000,Th
538.661070,44.953000,Th
539.476080,41.598000,Th
540.765350,56.171000,Th
541.076870,38.524000,Th
541.748580,93.921000,Th
542.400790,27.989000,Th
542.567830,22.272000,Th
543.111200,30.440000,Th
544.715370,64.623000,Th
545.221880,44.180000,Th
549.264350,27.003000,Th
549.613700,20.203000,Th
549.925540,89.515000,Th
550.430190,30.656000,Th
550.999380,57.638000,Th
551.487310,31.271000,Th
553.926180,145.939000,Th
553.991060,29.035000,Th
554.289000,26.352000,Th
554.817580,57.634000,Th
555.704540,49.576000,Th
555.834220,75.127000,Th
555.989120,21.927000,Th
557.119130,54.200000,Th
557.246490,37.815000,Th
557.335350,111.819000,Th
557.620450,25.946000,Th
557.935830,53.714000,Th
558.702630,203.332000,Th
558.875060,32.893000,Th
559.506350,52.947000,Th
560.160320,33.750000,Th
561.068090,30.628000,Th
561.206790,25.884000,Th
561.531950,72.413000,Th
563.974620,33.368000,Th
565.792550,23.487000,Th
566.517990,48.681000,Th
570.091760,30.432000,Th
570.710330,43.535000,Th
571.962270,60.887000,Th
572.018290,276.425000,Th
572.538850,68.543000,Th
574.874120,29.775000,Th
575.302650,40.641000,Th
576.055080,436.165000,Th
576.352900,28.204000,Th
576.818130,24.775000,Th
578.964510,38.198000,Th
579.243040,22.445000,Th
580.082970,53.744000,Th
580.414120,145.163000,Th
585.268060,33.143000,Th
585.412070,20.285000,Th
588.570160,59.126000,Th
589.145100,39.328000,Th
591.467090,66.166000,Th
592.623210,31.164000,Th
593.845700,21.315000,Th
593.882520,73.319000,Th
594.464720,34.786000,Th
597.366490,158.090000,Th
597.506490,84.790000,Th
598.904470,54.700000,Th
599.100710,52.124000,Th
599.412870,120.664000,Th
600.120330,21.537000,Th
600.707220,57.499000,Th
601.016060,25.364000,Th
602.103570,58.954000,Th
603.769750,65.683000,Th
604.905100,44.545000,Th
605.338080,22.387000,Th
607.787280,28.850000,Th
607.922270,23.627000,Th
608.537480,21.787000,Th
608.803050,47.117000,Th
610.172510,22.388000,Th
611.492340,21.000000,Ar
612.221440,31.924000,Th
615.199290,105.052000,Th
615.406820,24.500000,Th
615.558100,22.354000,Th
